-- Logs begin at Mon 2021-04-05 20:21:25 UTC, end at Tue 2021-04-06 03:13:14 UTC. --
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: W0406 03:12:01.034749    1294 driver-call.go:149] FlexVolume: driver call failed: executable: /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds, args: [init], error: fork/exec /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds: no such file or directory, output: ""
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: E0406 03:12:01.034778    1294 plugins.go:747] Error dynamically probing plugins: Error creating Flexvolume plugin from directory nodeagent~uds, skipping. Error: unexpected end of JSON input
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: E0406 03:12:01.035040    1294 driver-call.go:266] Failed to unmarshal output for command: init, output: "", error: unexpected end of JSON input
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: W0406 03:12:01.035050    1294 driver-call.go:149] FlexVolume: driver call failed: executable: /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds, args: [init], error: fork/exec /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds: no such file or directory, output: ""
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: E0406 03:12:01.035062    1294 plugins.go:747] Error dynamically probing plugins: Error creating Flexvolume plugin from directory nodeagent~uds, skipping. Error: unexpected end of JSON input
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: E0406 03:12:01.035241    1294 driver-call.go:266] Failed to unmarshal output for command: init, output: "", error: unexpected end of JSON input
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: W0406 03:12:01.035252    1294 driver-call.go:149] FlexVolume: driver call failed: executable: /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds, args: [init], error: fork/exec /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds: no such file or directory, output: ""
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: E0406 03:12:01.035263    1294 plugins.go:747] Error dynamically probing plugins: Error creating Flexvolume plugin from directory nodeagent~uds, skipping. Error: unexpected end of JSON input
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: E0406 03:12:01.035482    1294 driver-call.go:266] Failed to unmarshal output for command: init, output: "", error: unexpected end of JSON input
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: W0406 03:12:01.035492    1294 driver-call.go:149] FlexVolume: driver call failed: executable: /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds, args: [init], error: fork/exec /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds: no such file or directory, output: ""
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: E0406 03:12:01.035503    1294 plugins.go:747] Error dynamically probing plugins: Error creating Flexvolume plugin from directory nodeagent~uds, skipping. Error: unexpected end of JSON input
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: E0406 03:12:01.035749    1294 driver-call.go:266] Failed to unmarshal output for command: init, output: "", error: unexpected end of JSON input
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: W0406 03:12:01.035759    1294 driver-call.go:149] FlexVolume: driver call failed: executable: /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds, args: [init], error: fork/exec /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds: no such file or directory, output: ""
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: E0406 03:12:01.035771    1294 plugins.go:747] Error dynamically probing plugins: Error creating Flexvolume plugin from directory nodeagent~uds, skipping. Error: unexpected end of JSON input
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: E0406 03:12:01.035934    1294 driver-call.go:266] Failed to unmarshal output for command: init, output: "", error: unexpected end of JSON input
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: W0406 03:12:01.035946    1294 driver-call.go:149] FlexVolume: driver call failed: executable: /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds, args: [init], error: fork/exec /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds: no such file or directory, output: ""
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: E0406 03:12:01.035957    1294 plugins.go:747] Error dynamically probing plugins: Error creating Flexvolume plugin from directory nodeagent~uds, skipping. Error: unexpected end of JSON input
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: E0406 03:12:01.036201    1294 driver-call.go:266] Failed to unmarshal output for command: init, output: "", error: unexpected end of JSON input
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: W0406 03:12:01.036210    1294 driver-call.go:149] FlexVolume: driver call failed: executable: /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds, args: [init], error: fork/exec /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds: no such file or directory, output: ""
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: E0406 03:12:01.036221    1294 plugins.go:747] Error dynamically probing plugins: Error creating Flexvolume plugin from directory nodeagent~uds, skipping. Error: unexpected end of JSON input
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: E0406 03:12:01.036391    1294 driver-call.go:266] Failed to unmarshal output for command: init, output: "", error: unexpected end of JSON input
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: W0406 03:12:01.036401    1294 driver-call.go:149] FlexVolume: driver call failed: executable: /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds, args: [init], error: fork/exec /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds: no such file or directory, output: ""
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: E0406 03:12:01.036412    1294 plugins.go:747] Error dynamically probing plugins: Error creating Flexvolume plugin from directory nodeagent~uds, skipping. Error: unexpected end of JSON input
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: E0406 03:12:01.036667    1294 driver-call.go:266] Failed to unmarshal output for command: init, output: "", error: unexpected end of JSON input
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: W0406 03:12:01.036681    1294 driver-call.go:149] FlexVolume: driver call failed: executable: /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds, args: [init], error: fork/exec /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds: no such file or directory, output: ""
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: E0406 03:12:01.036902    1294 plugins.go:747] Error dynamically probing plugins: Error creating Flexvolume plugin from directory nodeagent~uds, skipping. Error: unexpected end of JSON input
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: E0406 03:12:01.037114    1294 driver-call.go:266] Failed to unmarshal output for command: init, output: "", error: unexpected end of JSON input
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: W0406 03:12:01.037123    1294 driver-call.go:149] FlexVolume: driver call failed: executable: /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds, args: [init], error: fork/exec /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds: no such file or directory, output: ""
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: E0406 03:12:01.037138    1294 plugins.go:747] Error dynamically probing plugins: Error creating Flexvolume plugin from directory nodeagent~uds, skipping. Error: unexpected end of JSON input
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: E0406 03:12:01.037298    1294 driver-call.go:266] Failed to unmarshal output for command: init, output: "", error: unexpected end of JSON input
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: W0406 03:12:01.037307    1294 driver-call.go:149] FlexVolume: driver call failed: executable: /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds, args: [init], error: fork/exec /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds: no such file or directory, output: ""
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: E0406 03:12:01.037318    1294 plugins.go:747] Error dynamically probing plugins: Error creating Flexvolume plugin from directory nodeagent~uds, skipping. Error: unexpected end of JSON input
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: E0406 03:12:01.037467    1294 driver-call.go:266] Failed to unmarshal output for command: init, output: "", error: unexpected end of JSON input
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: W0406 03:12:01.037476    1294 driver-call.go:149] FlexVolume: driver call failed: executable: /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds, args: [init], error: fork/exec /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds: no such file or directory, output: ""
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: E0406 03:12:01.037486    1294 plugins.go:747] Error dynamically probing plugins: Error creating Flexvolume plugin from directory nodeagent~uds, skipping. Error: unexpected end of JSON input
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: E0406 03:12:01.037661    1294 driver-call.go:266] Failed to unmarshal output for command: init, output: "", error: unexpected end of JSON input
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: W0406 03:12:01.037669    1294 driver-call.go:149] FlexVolume: driver call failed: executable: /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds, args: [init], error: fork/exec /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds: no such file or directory, output: ""
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: E0406 03:12:01.037679    1294 plugins.go:747] Error dynamically probing plugins: Error creating Flexvolume plugin from directory nodeagent~uds, skipping. Error: unexpected end of JSON input
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: E0406 03:12:01.037826    1294 driver-call.go:266] Failed to unmarshal output for command: init, output: "", error: unexpected end of JSON input
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: W0406 03:12:01.037837    1294 driver-call.go:149] FlexVolume: driver call failed: executable: /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds, args: [init], error: fork/exec /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds: no such file or directory, output: ""
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: E0406 03:12:01.037847    1294 plugins.go:747] Error dynamically probing plugins: Error creating Flexvolume plugin from directory nodeagent~uds, skipping. Error: unexpected end of JSON input
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: E0406 03:12:01.038016    1294 driver-call.go:266] Failed to unmarshal output for command: init, output: "", error: unexpected end of JSON input
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: W0406 03:12:01.038025    1294 driver-call.go:149] FlexVolume: driver call failed: executable: /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds, args: [init], error: fork/exec /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds: no such file or directory, output: ""
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: E0406 03:12:01.038036    1294 plugins.go:747] Error dynamically probing plugins: Error creating Flexvolume plugin from directory nodeagent~uds, skipping. Error: unexpected end of JSON input
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: E0406 03:12:01.038202    1294 driver-call.go:266] Failed to unmarshal output for command: init, output: "", error: unexpected end of JSON input
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: W0406 03:12:01.038211    1294 driver-call.go:149] FlexVolume: driver call failed: executable: /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds, args: [init], error: fork/exec /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds: no such file or directory, output: ""
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: E0406 03:12:01.038221    1294 plugins.go:747] Error dynamically probing plugins: Error creating Flexvolume plugin from directory nodeagent~uds, skipping. Error: unexpected end of JSON input
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: E0406 03:12:01.038386    1294 driver-call.go:266] Failed to unmarshal output for command: init, output: "", error: unexpected end of JSON input
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: W0406 03:12:01.038396    1294 driver-call.go:149] FlexVolume: driver call failed: executable: /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds, args: [init], error: fork/exec /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds: no such file or directory, output: ""
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: E0406 03:12:01.038406    1294 plugins.go:747] Error dynamically probing plugins: Error creating Flexvolume plugin from directory nodeagent~uds, skipping. Error: unexpected end of JSON input
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: E0406 03:12:01.038574    1294 driver-call.go:266] Failed to unmarshal output for command: init, output: "", error: unexpected end of JSON input
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: W0406 03:12:01.038584    1294 driver-call.go:149] FlexVolume: driver call failed: executable: /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds, args: [init], error: fork/exec /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds: no such file or directory, output: ""
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: E0406 03:12:01.038595    1294 plugins.go:747] Error dynamically probing plugins: Error creating Flexvolume plugin from directory nodeagent~uds, skipping. Error: unexpected end of JSON input
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: E0406 03:12:01.038765    1294 driver-call.go:266] Failed to unmarshal output for command: init, output: "", error: unexpected end of JSON input
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: W0406 03:12:01.038774    1294 driver-call.go:149] FlexVolume: driver call failed: executable: /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds, args: [init], error: fork/exec /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds: no such file or directory, output: ""
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: E0406 03:12:01.038789    1294 plugins.go:747] Error dynamically probing plugins: Error creating Flexvolume plugin from directory nodeagent~uds, skipping. Error: unexpected end of JSON input
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: E0406 03:12:01.038969    1294 driver-call.go:266] Failed to unmarshal output for command: init, output: "", error: unexpected end of JSON input
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: W0406 03:12:01.038980    1294 driver-call.go:149] FlexVolume: driver call failed: executable: /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds, args: [init], error: fork/exec /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds: no such file or directory, output: ""
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: E0406 03:12:01.038992    1294 plugins.go:747] Error dynamically probing plugins: Error creating Flexvolume plugin from directory nodeagent~uds, skipping. Error: unexpected end of JSON input
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: E0406 03:12:01.039145    1294 driver-call.go:266] Failed to unmarshal output for command: init, output: "", error: unexpected end of JSON input
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: W0406 03:12:01.039155    1294 driver-call.go:149] FlexVolume: driver call failed: executable: /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds, args: [init], error: fork/exec /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds: no such file or directory, output: ""
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: E0406 03:12:01.039167    1294 plugins.go:747] Error dynamically probing plugins: Error creating Flexvolume plugin from directory nodeagent~uds, skipping. Error: unexpected end of JSON input
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: E0406 03:12:01.039329    1294 driver-call.go:266] Failed to unmarshal output for command: init, output: "", error: unexpected end of JSON input
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: W0406 03:12:01.039338    1294 driver-call.go:149] FlexVolume: driver call failed: executable: /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds, args: [init], error: fork/exec /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds: no such file or directory, output: ""
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: E0406 03:12:01.039350    1294 plugins.go:747] Error dynamically probing plugins: Error creating Flexvolume plugin from directory nodeagent~uds, skipping. Error: unexpected end of JSON input
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: E0406 03:12:01.039665    1294 driver-call.go:266] Failed to unmarshal output for command: init, output: "", error: unexpected end of JSON input
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: W0406 03:12:01.039677    1294 driver-call.go:149] FlexVolume: driver call failed: executable: /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds, args: [init], error: fork/exec /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds: no such file or directory, output: ""
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: E0406 03:12:01.039689    1294 plugins.go:747] Error dynamically probing plugins: Error creating Flexvolume plugin from directory nodeagent~uds, skipping. Error: unexpected end of JSON input
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: E0406 03:12:01.039858    1294 driver-call.go:266] Failed to unmarshal output for command: init, output: "", error: unexpected end of JSON input
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: W0406 03:12:01.039868    1294 driver-call.go:149] FlexVolume: driver call failed: executable: /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds, args: [init], error: fork/exec /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds: no such file or directory, output: ""
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: E0406 03:12:01.039879    1294 plugins.go:747] Error dynamically probing plugins: Error creating Flexvolume plugin from directory nodeagent~uds, skipping. Error: unexpected end of JSON input
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: E0406 03:12:01.040034    1294 driver-call.go:266] Failed to unmarshal output for command: init, output: "", error: unexpected end of JSON input
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: W0406 03:12:01.040043    1294 driver-call.go:149] FlexVolume: driver call failed: executable: /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds, args: [init], error: fork/exec /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds: no such file or directory, output: ""
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: E0406 03:12:01.040054    1294 plugins.go:747] Error dynamically probing plugins: Error creating Flexvolume plugin from directory nodeagent~uds, skipping. Error: unexpected end of JSON input
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: E0406 03:12:01.040395    1294 driver-call.go:266] Failed to unmarshal output for command: init, output: "", error: unexpected end of JSON input
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: W0406 03:12:01.040407    1294 driver-call.go:149] FlexVolume: driver call failed: executable: /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds, args: [init], error: fork/exec /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds: no such file or directory, output: ""
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: E0406 03:12:01.040420    1294 plugins.go:747] Error dynamically probing plugins: Error creating Flexvolume plugin from directory nodeagent~uds, skipping. Error: unexpected end of JSON input
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: E0406 03:12:01.040597    1294 driver-call.go:266] Failed to unmarshal output for command: init, output: "", error: unexpected end of JSON input
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: W0406 03:12:01.040609    1294 driver-call.go:149] FlexVolume: driver call failed: executable: /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds, args: [init], error: fork/exec /usr/libexec/kubernetes/kubelet-plugins/volume/exec/nodeagent~uds/uds: no such file or directory, output: ""
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: E0406 03:12:01.040620    1294 plugins.go:747] Error dynamically probing plugins: Error creating Flexvolume plugin from directory nodeagent~uds, skipping. Error: unexpected end of JSON input
Apr 06 03:12:01 ip-10-17-16-128 kubelet[1294]: E0406 03:12:01.069656    1294 driver-call.go:266] Failed to unmarshal output for command: init, output: "", error: unexpected end of JSON input
